t,left_ankle_joint
12.247500,0.406418445
12.250000,0.405454537
12.252500,0.404534146
12.255000,0.403658606
12.257500,0.402829204
12.260000,0.402047177
12.262500,0.401313711
12.265000,0.400629933
12.267500,0.399996909
12.270000,0.399415642
12.272500,0.398887068
12.275000,0.398412050
12.277500,0.397991380
12.280000,0.397738059
12.282500,0.397476292
12.285000,0.397247235
12.287500,0.397065517
12.290000,0.396936475
12.292500,0.396936475
12.295000,0.396936475
12.297500,0.396936475
12.300000,0.397060320
12.302500,0.397218591
12.305000,0.397425368
12.307500,0.397685237
12.310000,0.397999535
12.312500,0.398368438
12.315000,0.398791673
12.317500,0.399417715
12.320000,0.399835043
12.322500,0.400553282
12.325000,0.401205991
12.327500,0.401897371
12.330000,0.402639090
12.332500,0.403431649
12.335000,0.404274132
12.337500,0.405165393
12.340000,0.406104211
12.342500,0.407089309
12.345000,0.408119357
12.347500,0.409192982
12.350000,0.410308767
12.352500,0.411465257
12.355000,0.412660962
12.357500,0.413894362
12.360000,0.415163908
12.362500,0.416468028
12.365000,0.417805133
12.367500,0.419173614
12.370000,0.420571852
12.372500,0.421998216
12.375000,0.423451071
12.377500,0.424928780
12.380000,0.426429703
12.382500,0.427952207
12.385000,0.429494661
12.387500,0.431055445
12.390000,0.432632951
12.392500,0.434225582
12.395000,0.435831757
12.397500,0.437449914
12.400000,0.439078511
12.402500,0.440716026
12.405000,0.442360960
12.407500,0.444011841
12.410000,0.445667220
12.412500,0.447325679
12.415000,0.448985824
12.417500,0.450646294
12.420000,0.452467871
12.422500,0.454010454
12.425000,0.455810140
12.427500,0.457493840
12.430000,0.459165963
12.432500,0.460829110
12.435000,0.462482309
12.437500,0.464124489
12.440000,0.465754612
12.442500,0.467371675
12.445000,0.468974711
12.447500,0.470562786
12.450000,0.472135004
12.452500,0.473690504
12.455000,0.475228460
12.457500,0.476748080
12.460000,0.478248608
12.462500,0.479729321
12.465000,0.481189530
12.467500,0.482628581
12.470000,0.484045852
12.472500,0.485440753
12.475000,0.486812727
12.477500,0.488161249
12.480000,0.489485825
12.482500,0.490785992
12.485000,0.492061317
12.487500,0.493311398
12.490000,0.494535861
12.492500,0.495734362
12.495000,0.496906586
12.497500,0.498052245
12.500000,0.499171079
12.502500,0.500380386
12.505000,0.501740044
12.507500,0.503224448
12.510000,0.504818831
12.512500,0.506512772
12.515000,0.508297865
12.517500,0.510166828
12.520000,0.512113077
12.522500,0.514130489
12.525000,0.516213277
12.527500,0.518355899
12.530000,0.520553017
12.532500,0.522799455
12.535000,0.525090184
12.537500,0.527420312
12.540000,0.529785070
12.542500,0.532179817
12.545000,0.534600032
12.547500,0.537041319
12.550000,0.539499407
12.552500,0.541970154
12.555000,0.544449543
12.557500,0.546933693
12.560000,0.549418855
12.562500,0.551901415
12.565000,0.554377896
12.567500,0.556844957
12.570000,0.559299398
12.572500,0.561738155
12.575000,0.564158302
12.577500,0.566557051
12.580000,0.568931748
12.582500,0.571279875
12.585000,0.573599044
12.587500,0.575887000
12.590000,0.578141613
12.592500,0.580360879
12.595000,0.582542913
12.597500,0.584685952
12.600000,0.586788345
12.602500,0.588848554
12.605000,0.590865147
12.607500,0.592836797
12.610000,0.594762278
12.612500,0.596640457
12.615000,0.598470297
12.617500,0.599301868
12.620000,0.599595510
12.622500,0.599624216
12.625000,0.599644207
12.627500,0.599662507
12.630000,0.599679679
12.632500,0.599695786
12.635000,0.599710848
12.637500,0.599724884
12.640000,0.599737910
12.642500,0.599749943
12.645000,0.599760997
12.647500,0.599771087
12.650000,0.599780226
12.652500,0.599788428
12.655000,0.599795704
12.657500,0.599802066
12.660000,0.599807523
12.662500,0.599812086
12.665000,0.599815764
12.667500,0.599818564
12.670000,0.599820495
12.672500,0.599821564
12.675000,0.599821775
12.677500,0.599821137
12.680000,0.599819652
12.682500,0.599817325
12.685000,0.599814160
12.687500,0.599810160
12.690000,0.599805327
12.692500,0.599464621
12.695000,0.599456175
12.697500,0.600000000
12.700000,0.599879516
12.702500,0.599444442
12.705000,0.599848107
12.707500,0.600000000
12.710000,0.600000000
12.712500,0.600000000
12.715000,0.599359335
12.717500,0.599520001
12.720000,0.599611917
12.722500,0.599642030
12.725000,0.599612569
12.727500,0.599524387
12.730000,0.599377950
12.732500,0.599312626
12.735000,0.599148660
12.737500,0.598963637
12.740000,0.598823103
12.742500,0.598627362
12.745000,0.598368443
12.747500,0.598046320
12.750000,0.597661658
12.752500,0.597215190
12.755000,0.596707657
12.757500,0.596139807
12.760000,0.595512392
12.762500,0.594826174
12.765000,0.594081922
12.767500,0.593280412
12.770000,0.592422435
12.772500,0.591508789
12.775000,0.590540290
12.777500,0.589517764
12.780000,0.588442056
12.782500,0.587314029
12.785000,0.586134565
12.787500,0.584904569
12.790000,0.583624968
12.792500,0.582296716
12.795000,0.580920798
12.797500,0.579498226
12.800000,0.578030047
12.802500,0.576517347
12.805000,0.574961247
12.807500,0.573362914
12.810000,0.571723558
12.812500,0.570044438
12.815000,0.568326867
12.817500,0.566572212
12.820000,0.564781900
12.822500,0.562957421
12.825000,0.561140854
12.827500,0.559394404
12.830000,0.557516539
12.832500,0.555747809
12.835000,0.553948339
12.837500,0.552116171
12.840000,0.550253492
12.842500,0.548362697
12.845000,0.546446275
12.847500,0.544506806
12.850000,0.542546974
12.852500,0.540569565
12.855000,0.538577476
12.857500,0.536573715
12.860000,0.534561410
12.862500,0.532543809
12.865000,0.530524285
12.867500,0.528506343
12.870000,0.526493616
12.872500,0.524489876
12.875000,0.522499032
12.877500,0.520525137
12.880000,0.518572391
12.882500,0.516645146
12.885000,0.514747913
12.887500,0.512885371
12.890000,0.511062382
12.892500,0.509284005
12.895000,0.507555526
12.897500,0.505882500
12.900000,0.504270804
12.902500,0.502726742
12.905000,0.501257190
12.907500,0.499869867
12.910000,0.498573837
12.912500,0.497380596
12.915000,0.496307220
12.917500,0.495383598
12.920000,0.494488332
12.922500,0.493561683
12.925000,0.492602205
12.927500,0.491610513
12.930000,0.490587299
12.932500,0.489533264
12.935000,0.488449116
12.937500,0.487335569
12.940000,0.486193349
12.942500,0.485023189
12.945000,0.483825831
12.947500,0.482602028
12.950000,0.481352546
12.952500,0.480078162
12.955000,0.478779665
12.957500,0.477457859
12.960000,0.476113563
12.962500,0.474747609
12.965000,0.473360847
12.967500,0.471954143
12.970000,0.470528382
12.972500,0.469084467
12.975000,0.467623320
12.977500,0.466145883
12.980000,0.464653120
12.982500,0.463146016
12.985000,0.461625579
12.987500,0.460092839
12.990000,0.458548851
12.992500,0.456994696
12.995000,0.455431477
12.997500,0.453860326
13.000000,0.452282398
13.002500,0.450698877
13.005000,0.449110973
13.007500,0.447519925
13.010000,0.445926996
13.012500,0.444333480
13.015000,0.442740696
13.017500,0.441149991
13.020000,0.439562741
13.022500,0.437980346
13.025000,0.436404233
13.027500,0.434835854
13.030000,0.433276687
13.032500,0.431728231
13.035000,0.430192010
13.037500,0.428669567
13.040000,0.427162466
13.042500,0.425672286
13.045000,0.424200625
13.047500,0.422749092
13.050000,0.421319308
13.052500,0.419912905
13.055000,0.418531517
13.057500,0.417176786
13.060000,0.415978337
13.062500,0.414584322
13.065000,0.413439393
13.067500,0.412244203
13.070000,0.411073289
13.072500,0.409936968
13.075000,0.408837821
13.077500,0.407777464
13.080000,0.406757368
13.082500,0.405778959
