t,right_ankle_joint
2.490000,0.500271709
2.492500,0.498946487
2.495000,0.497719718
2.497500,0.496605970
2.500000,0.495633771
2.502500,0.494749590
2.505000,0.493835829
2.507500,0.492889005
2.510000,0.491909662
2.512500,0.490898491
2.515000,0.489856194
2.517500,0.488783479
2.520000,0.487681063
2.522500,0.486549669
2.525000,0.485390029
2.527500,0.484202886
2.530000,0.482988992
2.532500,0.481749110
2.535000,0.480484015
2.537500,0.479194494
2.540000,0.477881350
2.542500,0.476545396
2.545000,0.475187463
2.547500,0.473808397
2.550000,0.472409060
2.552500,0.470990331
2.555000,0.469553110
2.557500,0.468098314
2.560000,0.466626879
2.562500,0.465139762
2.565000,0.463637944
2.567500,0.462122426
2.570000,0.460594232
2.572500,0.459054410
2.575000,0.457504033
2.577500,0.455944197
2.580000,0.454376026
2.582500,0.452800668
2.585000,0.451219299
2.587500,0.449633121
2.590000,0.448043363
2.592500,0.446451282
2.595000,0.444858162
2.597500,0.443265315
2.600000,0.441674080
2.602500,0.440085822
2.605000,0.438501935
2.607500,0.436923837
2.610000,0.435352974
2.612500,0.433790814
2.615000,0.432238852
2.617500,0.430698602
2.620000,0.429171604
2.622500,0.427659412
2.625000,0.426163604
2.627500,0.424685771
2.630000,0.423227520
2.632500,0.421790467
2.635000,0.420376242
2.637500,0.418986480
2.640000,0.417622819
2.642500,0.416415328
2.645000,0.415010538
2.647500,0.413855587
2.650000,0.412649156
2.652500,0.411466415
2.655000,0.410317761
2.657500,0.409205788
2.660000,0.408132119
2.662500,0.407098238
2.665000,0.406105581
2.667500,0.405155548
2.670000,0.404249500
2.672500,0.403388754
2.675000,0.402574580
2.677500,0.401808200
2.680000,0.401090778
2.682500,0.400423420
2.685000,0.399807173
2.687500,0.399243017
2.690000,0.398731862
2.692500,0.398274549
2.695000,0.397871843
2.697500,0.397631976
2.700000,0.397386818
2.702500,0.397175565
2.705000,0.397012143
2.707500,0.396901626
2.710000,0.396901626
2.712500,0.396901626
2.715000,0.396966065
2.717500,0.397079884
2.720000,0.397247411
2.722500,0.397469942
2.725000,0.397747715
2.727500,0.398080564
2.730000,0.398468128
2.732500,0.398909931
2.735000,0.399561425
2.737500,0.399993028
2.740000,0.400734232
2.742500,0.401406035
2.745000,0.402115743
2.747500,0.402875370
2.750000,0.403685440
2.752500,0.404545023
2.755000,0.405452957
2.757500,0.406408002
2.760000,0.407408865
2.762500,0.408454202
2.765000,0.409542626
2.767500,0.410672708
2.770000,0.411842982
2.772500,0.413051947
2.775000,0.414298075
2.777500,0.415579809
2.780000,0.416895573
2.782500,0.418243770
2.785000,0.419622789
2.787500,0.421031006
2.790000,0.422466791
2.792500,0.423928507
2.795000,0.425414517
2.797500,0.426923183
2.800000,0.428452872
2.802500,0.430001959
2.805000,0.431568828
2.807500,0.433151872
2.810000,0.434749502
2.812500,0.436360144
2.815000,0.437982242
2.817500,0.439614259
2.820000,0.441254684
2.822500,0.442902026
2.825000,0.444554820
2.827500,0.446211628
2.830000,0.447871040
2.832500,0.449531674
2.835000,0.451192178
