t,right_knee_joint
2.027500,-0.788980538
2.030000,-0.787553447
2.032500,-0.786068266
2.035000,-0.784525681
2.037500,-0.782926433
2.040000,-0.781271317
2.042500,-0.779561184
2.045000,-0.777796937
2.047500,-0.775979535
2.050000,-0.774109991
2.052500,-0.772189369
2.055000,-0.770218788
2.057500,-0.768199418
2.060000,-0.766132483
2.062500,-0.764019256
2.065000,-0.761861064
2.067500,-0.759659281
2.070000,-0.757415334
2.072500,-0.755130699
2.075000,-0.752806899
2.077500,-0.750445506
2.080000,-0.748048140
2.082500,-0.745616467
2.085000,-0.743152199
2.087500,-0.740657093
2.090000,-0.738132950
2.092500,-0.735581614
2.095000,-0.733004972
2.097500,-0.730404949
2.100000,-0.727783515
2.102500,-0.725142675
2.105000,-0.722484472
2.107500,-0.719810986
2.110000,-0.717124333
2.112500,-0.714426659
2.115000,-0.711720145
2.117500,-0.709007001
2.120000,-0.706289465
2.122500,-0.703569803
2.125000,-0.700850306
2.127500,-0.698271054
2.130000,-0.695419749
2.132500,-0.692846217
2.135000,-0.690011843
2.137500,-0.687458382
2.140000,-0.684792349
2.142500,-0.682131243
2.145000,-0.679488032
2.147500,-0.676866086
2.150000,-0.674267919
2.152500,-0.671695965
2.155000,-0.669152652
2.157500,-0.666640400
2.160000,-0.664161619
2.162500,-0.661718710
2.165000,-0.659314057
2.167500,-0.656950027
2.170000,-0.654628966
2.172500,-0.652353195
2.175000,-0.650125006
2.177500,-0.647946660
2.180000,-0.645820384
2.182500,-0.643748365
2.185000,-0.641732751
2.187500,-0.639775642
2.190000,-0.637879091
2.192500,-0.636045097
2.195000,-0.634275607
2.197500,-0.632572504
2.200000,-0.630937614
2.202500,-0.629372694
2.205000,-0.627879434
2.207500,-0.626459452
2.210000,-0.625114291
2.212500,-0.623845417
2.215000,-0.622791122
2.217500,-0.621536916
2.220000,-0.620610796
2.222500,-0.619656854
2.225000,-0.618763040
2.227500,-0.617948498
2.230000,-0.617217877
2.232500,-0.616572740
2.235000,-0.616013941
2.237500,-0.615542106
2.240000,-0.615271238
2.242500,-0.614988526
2.245000,-0.614748557
2.247500,-0.614576544
