t,right_hip1_joint,right_hip2_joint,right_thigh_joint,right_knee_joint,right_ankle_joint
0.502500,0.451640806,0.000043275,0.000100408,-0.917930442,0.564823924
0.505000,0.457038431,0.000045183,0.000104116,-0.922972367,0.567123155
0.507500,0.462441810,0.000047121,0.000107842,-0.928031481,0.569408070
0.510000,0.467846642,0.000049090,0.000111582,-0.933101845,0.571676187
0.512500,0.473248623,0.000051088,0.000115334,-0.938177579,0.573925117
0.515000,0.478643452,0.000053114,0.000119096,-0.943252869,0.576152561
0.517500,0.484026833,0.000055166,0.000122865,-0.948321971,0.578356316
0.520000,0.489394479,0.000057243,0.000126638,-0.953379216,0.580534271
0.522500,0.494742113,0.000059344,0.000130412,-0.958419014,0.582684406
0.525000,0.500065473,0.000061466,0.000134186,-0.963435860,0.584804797
0.527500,0.505360312,0.000063608,0.000137957,-0.968424338,0.586893609
0.530000,0.510622405,0.000065768,0.000141720,-0.973379123,0.588949097
0.532500,0.515847547,0.000067944,0.000145475,-0.978294989,0.590969608
0.535000,0.521031560,0.000070134,0.000149218,-0.983166804,0.592953574
0.537500,0.526170291,0.000072336,0.000152946,-0.987989544,0.594899513
0.540000,0.531259620,0.000074548,0.000156657,-0.992758286,0.596806028
0.542500,0.536295457,0.000076767,0.000160348,-0.997468216,0.598671802
0.545000,0.541445478,0.000079077,0.000164125,-1.002307417,0.599547032
0.547500,0.546691389,0.000081473,0.000167975,-1.007256329,0.599613267
0.550000,0.551881560,0.000083880,0.000171803,-1.012143205,0.599639535
0.552500,0.556992847,0.000086286,0.000175594,-1.016939996,0.599661707
0.555000,0.562019894,0.000088685,0.000179345,-1.021640791,0.599682580
0.557500,0.566958759,0.000091075,0.000183052,-1.026241536,0.599702383
0.560000,0.571805662,0.000093453,0.000186713,-1.030738442,0.599721147
0.562500,0.576556892,0.000095816,0.000190324,-1.035127856,0.599738889
0.565000,0.581208798,0.000098160,0.000193883,-1.039406252,0.599755621
0.567500,0.585757797,0.000100483,0.000197387,-1.043570230,0.599771356
0.570000,0.590200366,0.000102781,0.000200833,-1.047616513,0.599786108
0.572500,0.594533052,0.000105052,0.000204217,-1.051541948,0.599799887
0.575000,0.598752468,0.000107290,0.000207538,-1.055343503,0.599812705
0.577500,0.602855296,0.000109494,0.000210792,-1.059018267,0.599824571
0.580000,0.606838291,0.000111661,0.000213975,-1.062563447,0.599835497
0.582500,0.610698280,0.000113786,0.000217086,-1.065976367,0.599845490
0.585000,0.614432166,0.000115866,0.000220121,-1.069254471,0.599854558
0.587500,0.618036925,0.000117898,0.000223078,-1.072395313,0.599862710
0.590000,0.621509615,0.000119879,0.000225952,-1.075396564,0.599869952
0.592500,0.624847372,0.000121806,0.000228743,-1.078256006,0.599876291
0.595000,0.628047413,0.000123675,0.000231445,-1.080971533,0.599881731
0.597500,0.631107040,0.000125482,0.000234058,-1.083541148,0.599886278
0.600000,0.634023640,0.000127226,0.000236578,-1.085962961,0.599889935
0.602500,0.635569763,0.000128318,0.000238137,-1.087478941,0.599817762
0.605000,0.636921326,0.000129303,0.000239558,-1.088804896,0.599808961
0.607500,0.638114475,0.000130201,0.000240863,-1.089975005,0.599803552
0.610000,0.639098582,0.000130894,0.000241857,-1.090929889,0.599462758
0.612500,0.639994646,0.000131546,0.000242786,-1.091809889,0.599454056
0.615000,0.640619697,0.000132042,0.000243533,-1.092421784,0.600000000
0.617500,0.641259553,0.000132561,0.000244277,-1.093052997,0.599868178
0.620000,0.641696997,0.000132966,0.000244880,-1.093483010,0.599441816
0.622500,0.641874450,0.000133141,0.000245154,-1.093656132,0.599831148
0.625000,0.641937929,0.000133253,0.000245351,-1.093719265,0.600000000
0.627500,0.641937929,0.000133253,0.000245351,-1.093719265,0.600000000
0.630000,0.641937929,0.000133253,0.000245351,-1.093719265,0.600000000
0.632500,0.641539554,0.000133141,0.000245220,-1.093351366,0.599335042
0.635000,0.641033660,0.000132959,0.000245019,-1.092866092,0.599469449
0.637500,0.640371071,0.000132688,0.000244711,-1.092225067,0.599540591
0.640000,0.639558715,0.000132335,0.000244299,-1.091436997,0.599551591
0.642500,0.638598927,0.000131904,0.000243781,-1.090504821,0.599503564
0.645000,0.637492806,0.000131394,0.000243160,-1.089429811,0.599397042
0.647500,0.636241167,0.000130808,0.000242435,-1.088212808,0.599232399
0.650000,0.634415691,0.000129963,0.000241442,-1.086399803,0.599143933
0.652500,0.633146038,0.000129370,0.000240688,-1.085178931,0.598965816
0.655000,0.631052240,0.000128382,0.000239483,-1.083111647,0.598759443
0.657500,0.629108651,0.000127473,0.000238362,-1.081204393,0.598601335
0.660000,0.627049171,0.000126502,0.000237145,-1.079188958,0.598388484
0.662500,0.624853807,0.000125458,0.000235820,-1.077041416,0.598112627
0.665000,0.622522141,0.000124341,0.000234386,-1.074760736,0.597773715
0.667500,0.620055428,0.000123153,0.000232845,-1.072348083,0.597372416
0.670000,0.617455148,0.000121894,0.000231197,-1.069804924,0.596909465
0.672500,0.614722890,0.000120568,0.000229443,-1.067132849,0.596385606
0.675000,0.611860339,0.000119175,0.000227584,-1.064333564,0.595801590
0.677500,0.608869272,0.000117718,0.000225623,-1.061408889,0.595158176
0.680000,0.605751562,0.000116200,0.000223559,-1.058360756,0.594456128
0.682500,0.602509173,0.000114621,0.000221395,-1.055191216,0.593696220
0.685000,0.599144163,0.000112984,0.000219132,-1.051902437,0.592879235
0.687500,0.595658678,0.000111293,0.000216771,-1.048496707,0.592005966
0.690000,0.592054957,0.000109548,0.000214316,-1.044976438,0.591077219
0.692500,0.588335328,0.000107753,0.000211766,-1.041344162,0.590093816
0.695000,0.584502209,0.000105911,0.000209125,-1.037602540,0.589056590
0.697500,0.580558103,0.000104023,0.000206394,-1.033754358,0.587966393
0.700000,0.576505603,0.000102093,0.000203576,-1.029802533,0.586824096
0.702500,0.572347387,0.000100123,0.000200673,-1.025750112,0.585630589
0.705000,0.568086220,0.000098116,0.000197686,-1.021600277,0.584386786
0.707500,0.563724949,0.000096075,0.000194619,-1.017356343,0.583093625
0.710000,0.559266507,0.000094002,0.000191474,-1.013021763,0.581752071
0.712500,0.554713911,0.000091901,0.000188254,-1.008600130,0.580363118
0.715000,0.550070259,0.000089775,0.000184961,-1.004095178,0.578927793
0.717500,0.545338731,0.000087625,0.000181598,-0.999510781,0.577447154
0.720000,0.540522587,0.000085456,0.000178168,-0.994850961,0.575922302
0.722500,0.535625168,0.000083269,0.000174673,-0.990119884,0.574354372
0.725000,0.530649893,0.000081068,0.000171117,-0.985321864,0.572744548
